N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5465|2.025|10/12/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 074-25|DM_5465_018_Avelino_Lopes_Decreto_074-25_pag_18.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5465/DM_5465_018_Avelino_Lopes_Decreto_074-25_pag_18.pdf|1252794CE8CB8107
5465|2.025|10/12/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 075-25|DM_5465_019_Avelino_Lopes_Decreto_075-25_pag_18.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5465/DM_5465_019_Avelino_Lopes_Decreto_075-25_pag_18.pdf|0F8BEE5C2DB78109
5468|2.025|15/12/2025|Avelino Lopes|Prefeitura|Plano|Plano de Prevencao e Combate a Incendios Florestais|DM_5468_009_Avelino_Lopes_Plano_de_Prevencao_e_Combate_a_Incendios_Florestais_pag_95.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5468/DM_5468_009_Avelino_Lopes_Plano_de_Prevencao_e_Combate_a_Incendios_Florestais_pag_95.pdf|0B621E677F6C2586
5469|2.025|16/12/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 079-25|DM_5469_015_Avelino_Lopes_Decreto_079-25_pag_225.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5469/DM_5469_015_Avelino_Lopes_Decreto_079-25_pag_225.pdf|151904C956A916C9
5469|2.025|16/12/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao PE 003-23 Contrato 004-23 Aditivo 04|DM_5469_016_Avelino_Lopes_Licitacao_PE_003-23_Contrato_004-23_Aditivo_04_pag_225.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5469/DM_5469_016_Avelino_Lopes_Licitacao_PE_003-23_Contrato_004-23_Aditivo_04_pag_225.pdf|01AB3834391D16C6
5469|2.025|16/12/2025|Avelino Lopes|Prefeitura|Termo|Termo de Adesao a Nota Fiscal de Servico Eletronica de Padrao Nacional|DM_5469_017_Avelino_Lopes_Termo_de_Adesao_a_Nota_Fiscal_de_Servico_Eletronica_de_Padrao_Nacional_pag_225.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5469/DM_5469_017_Avelino_Lopes_Termo_de_Adesao_a_Nota_Fiscal_de_Servico_Eletronica_de_Padrao_Nacional_pag_225.pdf|0E28A96F82F71695
5471|2.025|18/12/2025|Avelino Lopes|Prefeitura|Ata|Ata 2025.05.30|DM_5471_014_Avelino_Lopes_Ata_2025.05.30_pag_343.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5471/DM_5471_014_Avelino_Lopes_Ata_2025.05.30_pag_343.pdf|09FED934FB46F3A2
5471|2.025|18/12/2025|Avelino Lopes|Prefeitura|Ata|Ata 2025.06.13|DM_5471_015_Avelino_Lopes_Ata_2025.06.13_pag_343.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5471/DM_5471_015_Avelino_Lopes_Ata_2025.06.13_pag_343.pdf|0CC56425B65AF3A8
5471|2.025|18/12/2025|Avelino Lopes|Prefeitura|Ata|Ata 2025.07.11|DM_5471_016_Avelino_Lopes_Ata_2025.07.11_pag_344.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5471/DM_5471_016_Avelino_Lopes_Ata_2025.07.11_pag_344.pdf|089B93BC9DBCF3B3
5471|2.025|18/12/2025|Avelino Lopes|Prefeitura|Ata|Ata 2025.07.13|DM_5471_017_Avelino_Lopes_Ata_2025.07.13_pag_345.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5471/DM_5471_017_Avelino_Lopes_Ata_2025.07.13_pag_345.pdf|089B93BC9DBCF3A3
